15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        70105.57          ---          ---      0.21000     73452.54 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      70105.57         0.00         0.00      0.21000     73452.54 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.00
SET       0.043         0.00
SET       0.044         0.00
SET       0.045         0.00
SET       0.046         0.00
SET       0.047         0.01
SET       0.048         0.01
SET       0.049         0.01
SET       0.050         0.01
SET       0.051         0.01
SET       0.052         0.01
SET       0.053         0.02
SET       0.054         0.02
SET       0.055         0.02
SET       0.056         0.02
SET       0.057         0.02
SET       0.058         0.02
SET       0.059         0.02
SET       0.060         0.02
SET       0.061         0.02
SET       0.062         0.02
SET       0.063         0.03
SET       0.064         0.03
SET       0.065         0.03
SET       0.066         0.03
SET       0.067         0.03
SET       0.068         0.03
SET       0.069         0.04
SET       0.070         0.04
SET       0.071         0.04
SET       0.072         0.04
SET       0.073         0.05
SET       0.074         0.05
SET       0.075         0.05
SET       0.076         0.05
SET       0.077         0.05
SET       0.078         0.06
SET       0.079         0.06
SET       0.080         0.06
SET       0.081         0.06
SET       0.082         0.06
SET       0.083         0.07
SET       0.084         0.07
SET       0.085         0.07
SET       0.086         0.07
SET       0.087         0.08
SET       0.088         0.08
SET       0.089         0.08
SET       0.090         0.08
SET       0.091         0.08
SET       0.092         0.09
SET       0.093         0.09
SET       0.094         0.09
SET       0.095         0.09
SET       0.096         0.09
SET       0.097         0.09
SET       0.098         0.09
SET       0.099         0.10
SET       0.100         0.10
SET       0.110         0.12
SET       0.120         0.14
SET       0.130         0.17
SET       0.140         0.29
SET       0.150         1.34
SET       0.160        10.16
SET       0.170        33.65
SET       0.180        54.15
SET       0.190        67.08
SET       0.200        74.56
SET       0.210        79.65
SET       0.220        83.40
SET       0.230        86.24
SET       0.240        88.99
SET       0.250        91.86
SET       0.260        94.11
SET       0.270        95.68
SET       0.280        96.82
SET       0.290        97.63
SET       0.300        98.10
SET       0.310        98.40
SET       0.320        98.63
SET       0.330        98.83
SET       0.340        99.04
SET       0.350        99.22
SET       0.360        99.37
SET       0.370        99.49
SET       0.380        99.57
SET       0.390        99.64
SET       0.400        99.69
SET       0.410        99.73
SET       0.420        99.76
SET       0.430        99.78
SET       0.440        99.79
SET       0.450        99.81
SET       0.460        99.81
SET       0.470        99.82
SET       0.480        99.83
SET       0.490        99.83
SET       0.500        99.84
SET       0.510        99.84
SET       0.520        99.85
SET       0.530        99.85
SET       0.540        99.85
SET       0.550        99.85
SET       0.560        99.86
SET       0.570        99.86
SET       0.580        99.86
SET       0.590        99.86
SET       0.600        99.87
SET       0.610        99.87
SET       0.620        99.87
SET       0.630        99.87
SET       0.640        99.87
SET       0.650        99.87
SET       0.660        99.88
SET       0.670        99.88
SET       0.680        99.88
SET       0.690        99.88
SET       0.700        99.88
SET       0.710        99.88
SET       0.720        99.88
SET       0.730        99.88
SET       0.740        99.89
SET       0.750        99.89
SET       0.760        99.89
SET       0.770        99.89
SET       0.780        99.89
SET       0.790        99.89
SET       0.800        99.89
SET       0.810        99.89
SET       0.820        99.89
SET       0.830        99.89
SET       0.840        99.89
SET       0.850        99.90
SET       0.860        99.90
SET       0.870        99.90
SET       0.880        99.90
SET       0.890        99.90
SET       0.900        99.90
SET       0.910        99.90
SET       0.920        99.90
SET       0.930        99.90
SET       0.940        99.90
SET       0.950        99.90
SET       0.960        99.90
SET       0.970        99.90
SET       0.980        99.90
SET       0.990        99.91
SET       1.000        99.91
SET       1.100        99.91
SET       1.200        99.92
SET       1.300        99.92
SET       1.400        99.92
SET       1.500        99.92
SET       1.600        99.93
SET       1.700        99.93
SET       1.800        99.93
SET       1.900        99.93
SET       2.000        99.93
SET       2.100        99.93
SET       2.200        99.93
SET       2.300        99.93
SET       2.400        99.94
SET       2.500        99.94
SET       2.600        99.94
SET       2.700        99.94
SET       2.800        99.94
SET       3.000        99.94
SET       3.100        99.94
SET       3.200        99.94
SET       3.300        99.94
SET       3.400        99.94
SET       3.500        99.94
SET       3.600        99.94
SET       3.700        99.94
SET       4.000        99.94
SET       4.100        99.94
SET       4.200        99.95
SET       4.400        99.95
SET       4.500        99.95
SET       4.600        99.95
SET       4.700        99.95
SET       4.800        99.95
SET       5.200        99.95
SET       5.300        99.95
SET       5.400        99.95
SET       5.500        99.95
