20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
===================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    MOVED/sec      ASK/sec      Latency       KB/sec 
---------------------------------------------------------------------------------------------------
Sets       200128.32          ---          ---         0.00         0.00      0.29600    209682.81 
Gets            0.00         0.00         0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---          ---          ---      0.00000          --- 
Totals     200128.32         0.00         0.00         0.00         0.00      0.29600    209682.81 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.036         0.00
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.00
SET       0.043         0.00
SET       0.044         0.00
SET       0.045         0.00
SET       0.046         0.00
SET       0.047         0.00
SET       0.048         0.00
SET       0.049         0.00
SET       0.050         0.00
SET       0.051         0.00
SET       0.052         0.00
SET       0.053         0.01
SET       0.054         0.01
SET       0.055         0.01
SET       0.056         0.01
SET       0.057         0.01
SET       0.058         0.01
SET       0.059         0.01
SET       0.060         0.01
SET       0.061         0.01
SET       0.062         0.01
SET       0.063         0.01
SET       0.064         0.01
SET       0.065         0.01
SET       0.066         0.01
SET       0.067         0.01
SET       0.068         0.01
SET       0.069         0.01
SET       0.070         0.01
SET       0.071         0.01
SET       0.072         0.01
SET       0.073         0.01
SET       0.074         0.01
SET       0.075         0.01
SET       0.076         0.01
SET       0.077         0.01
SET       0.078         0.01
SET       0.079         0.01
SET       0.080         0.01
SET       0.081         0.01
SET       0.082         0.02
SET       0.083         0.02
SET       0.084         0.02
SET       0.085         0.02
SET       0.086         0.02
SET       0.087         0.02
SET       0.088         0.02
SET       0.089         0.02
SET       0.090         0.02
SET       0.091         0.02
SET       0.092         0.02
SET       0.093         0.02
SET       0.094         0.02
SET       0.095         0.02
SET       0.096         0.02
SET       0.097         0.02
SET       0.098         0.02
SET       0.099         0.02
SET       0.100         0.03
SET       0.110         0.03
SET       0.120         0.03
SET       0.130         0.04
SET       0.140         0.04
SET       0.150         0.05
SET       0.160         0.06
SET       0.170         0.07
SET       0.180         0.08
SET       0.190         0.10
SET       0.200         0.12
SET       0.210         0.15
SET       0.220         0.22
SET       0.230         0.54
SET       0.240         2.06
SET       0.250         9.06
SET       0.260        29.36
SET       0.270        56.15
SET       0.280        72.00
SET       0.290        78.40
SET       0.300        80.98
SET       0.310        81.98
SET       0.320        82.34
SET       0.330        82.50
SET       0.340        82.64
SET       0.350        82.83
SET       0.360        83.21
SET       0.370        83.98
SET       0.380        85.41
SET       0.390        87.47
SET       0.400        89.98
SET       0.410        92.67
SET       0.420        94.97
SET       0.430        96.39
SET       0.440        97.09
SET       0.450        97.43
SET       0.460        97.58
SET       0.470        97.68
SET       0.480        97.77
SET       0.490        97.89
SET       0.500        98.10
SET       0.510        98.44
SET       0.520        98.88
SET       0.530        99.29
SET       0.540        99.59
SET       0.550        99.78
SET       0.560        99.87
SET       0.570        99.92
SET       0.580        99.95
SET       0.590        99.96
SET       0.600        99.97
SET       0.610        99.97
SET       0.620        99.98
SET       0.630        99.98
SET       0.640        99.98
SET       0.650        99.98
SET       0.660        99.98
SET       0.670        99.98
SET       0.680        99.98
SET       0.690        99.98
SET       0.700        99.99
SET       0.710        99.99
SET       0.720        99.99
SET       0.730        99.99
SET       0.740        99.99
SET       0.750        99.99
SET       0.760        99.99
SET       0.770        99.99
SET       0.780        99.99
SET       0.790        99.99
SET       0.800        99.99
SET       0.810        99.99
SET       0.820        99.99
SET       0.830        99.99
SET       0.840        99.99
SET       0.850        99.99
SET       0.860        99.99
SET       0.870        99.99
SET       0.880        99.99
SET       0.890        99.99
SET       0.900        99.99
SET       0.910        99.99
SET       0.920        99.99
SET       0.930        99.99
SET       0.940        99.99
SET       0.950        99.99
SET       0.960        99.99
SET       0.970        99.99
SET       0.980        99.99
SET       0.990        99.99
SET       1.000        99.99
SET       1.100       100.00
SET       1.200       100.00
SET       1.300       100.00
SET       1.700       100.00
SET       1.800       100.00
SET       1.900       100.00
SET       2.000       100.00
SET       2.100       100.00
SET       2.200       100.00
SET       2.300       100.00
SET       2.400       100.00
SET       2.500       100.00
SET       4.300       100.00
SET       4.400       100.00
SET       4.500       100.00
SET       4.600       100.00
SET       6.000       100.00
---
---
